INSTRUCTION-LEVEL ANALYSIS

Instruction_ID,Instruction,Baseline_Status,Without_2tools_Status,Without_PE_Status,Failed_Version,Missing_Tools
2,Show details of the KM3-to-EMF transformation from KM3 models to EMF models.,SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_KM32EMF_tool
9,Retrieve the details of the transformation from MySQL model to KM3 model.,SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_MySQL2KM3_tool
14,Convert KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to EMF model,SUCCESS,FAILED,SUCCESS,Without_2tools,apply_KM32EMF_transformation_tool
15,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' into an EM...,SUCCESS,FAILED,SUCCESS,Without_2tools,apply_KM32EMF_transformation_tool
16,Show me the configuration settings for the KM3-to-EMF transformation from KM3 model to EMF model.,SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_KM32EMF_tool
17,Show me the configuration settings of the transformation that transforms a KM3 model into an EMF mod...,SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_KM32EMF_tool
42,Apply MySQL to KM3 model on /Users/zakariahachm/Downloads/atl_zoo/MySQL2KM3/Models/euro2004-MySQL.xm...,SUCCESS,FAILED,SUCCESS,Without_2tools,apply_MySQL2KM3_transformation_tool
43,Apply transformation from MySQL model to KM3 model with /Users/zakariahachm/Downloads/atl_zoo/MySQL2...,SUCCESS,FAILED,SUCCESS,Without_2tools,apply_MySQL2KM3_transformation_tool
44,Show me the configuration details of the transformation that converts a MySQL model into a KM3 model...,SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_MySQL2KM3_tool
45,Show me the configuration settings of the transformation that transforms a MySQL model into a KM3 mo...,SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_MySQL2KM3_tool
56,"1) Get the KM3-to-EMF configuration.
2) Apply the Mantis-to-XML transformation to /Users/zakariahach...",SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_KM32EMF_tool | apply_Mantis2XML_transformation_tool
58,"Get the configuration settings of the XML-to-Ant model transformation, then apply the XML-to-XSLT tr...",SUCCESS,SUCCESS,FAILED,Without_PE,apply_XML2XSLT_transformation_tool | list_transformation_XML2Ant_tool
61,"Get the Families-to-Persons transformation configuration between Families and Persons models.
Apply ...",SUCCESS,SUCCESS,FAILED,Without_PE,list_transformation_Families2Persons_tool | apply_XML2Ant_transformation_tool
62,"1) get the configuration of the transformation from Families model to Persons model
2) apply the con...",SUCCESS,FAILED,FAILED,Without_2tools | Without_PE,apply_XML2XSLT_transformation_tool | list_transformation_Families2Persons_tool
65,"Step 1: Get configuration for the MySQL-to-KM3 mapping, including input MySQL model type and output ...",SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_MySQL2KM3_tool | apply_SimpleClass2SimpleRDBMS_transformation_tool
70,"Get the configuration of the KM3-to-OWL transformation for the KM3-to-EMF workflow, and then apply t...",SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_KM32OWL_tool | apply_KM32EMF_transformation_tool
71,"Show the configuration of the MySQL-to-KM3 transformation between a MySQL model and a KM3 model.
App...",SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_MySQL2KM3_tool | apply_MySQL2KM3_transformation_tool
74,"Get the KM3-to-OWL transformation configuration (KM3 model to OWL model).

Apply the XML-to-XSLT tra...",FAILED,SUCCESS,FAILED,Baseline | Without_PE,apply_XML2XSLT_transformation_tool | list_transformation_KM32OWL_tool
80,"get the configuration of the transformation MySQL2KM3.
apply the transformation Families2Persons to ...",SUCCESS,FAILED,SUCCESS,Without_2tools,list_transformation_MySQL2KM3_tool | apply_Families2Persons_transformation_tool
