Instruction_ID,Instruction,Missing_Tools,Score
6,Transform the XML model /Users/zakariahachm/Downloads/atl_zoo/Ant2Maven/example/build1.xmi into the ...,apply_XML2Ant_transformation_tool,0.00
21,Show the details of the transformation from KM3 model to EMF model.,list_transformation_KM32EMF_tool,0.00
59,Transform KM3 model /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an EMF model,apply_KM32EMF_transformation_tool,0.00
61,Display the KM32EMF transformation details for KM3 to EMF.,list_transformation_KM32EMF_tool,0.00
69,Transform this model /Users/zakariahachm/Downloads/atl_zoo/Make2Ant/example/makeFileMake.xmi into An...,apply_Make2Ant_transformation_tool,0.00
70,Apply KM3 to KM3target at /Users/zakariahachm/Downloads/atl_zoo/MakePartialRoleTotal/MakingPartialRo...,apply_Partial2totalRoleB_transformation_tool,0.00
71,Apply KM3 model to KM3 model on /Users/zakariahachm/Downloads/atl_zoo/IntroducePrimaryKey/with_conte...,apply_PrimaryKey_with_context_transformation_tool,0.00
88,Retrieve details of the KM3-to-EMF transformation.,list_transformation_KM32EMF_tool,0.00
92,Display the details of the transformation from Make to Ant.,list_transformation_Make2Ant_tool,0.00
101,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mo...,apply_KM32EMF_transformation_tool,0.50
102,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mo...,apply_KM32EMF_transformation_tool,0.50
105,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mo...,apply_KM32EMF_transformation_tool,0.50
106,Transform the model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF mode...,apply_KM32EMF_transformation_tool,0.50
107,Apply the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/DSLBridge/MetamodelBridge/Models/Simpl...,list_transformation_KM32EMF_tool,0.50
109,Get the configuration settings of the KM3 to EMF transformation; Apply the Families to Persons trans...,apply_Families2Persons_transformation_tool | list_transformation_KM32EMF_tool,0.00
